chamber,leg,sed_num,date,speaker,id_persona,para_class,speech_lead,text,snippet
Senato,19,184,2024-04-30,NA,NA,allegato_b,NA,"Sellner, 35enne noto per le sue posizioni neonaziste e di estrema destra, è l'ideologo della ""remigrazione"";","Sellner, 35enne noto per le sue posizioni neonaziste e di estrema destra, è l'ideologo della ""remigrazione"";"
Senato,19,184,2024-04-30,NA,NA,allegato_b,NA,"secondo un rapporto pubblicato dalla rete di giornalismo investigativo ""Correctiv"", durante un evento a porte chiuse in Germania lo scorso novembre, Sellner avrebbe discusso di un piano per l'espulsione di milioni di persone dal Paese nel caso in cui l'estrema destra salisse al potere. Il piano, denominato ""remigrazione"", prevedrebbe l'espulsione di persone in base a criteri razzisti, indipendentemente dalla nazionalità e la loro deportazione in uno ""Stato modello"" nel Nord Africa;","secondo un rapporto pubblicato dalla rete di giornalismo investigativo ""Correctiv"", durante un evento a porte chiuse in Germania lo scorso novembre, Sellner avrebbe discusso di un piano per l'espulsione di milioni di persone dal Paese nel caso in cui l'estrema destra salisse al …"
Senato,19,189,2024-05-15,NA,NA,allegato_b,NA,"già da giovane, Sellner era salito agli onori delle cronache per il suo sostegno a favore dei negazionisti dell'olocausto e per aver oltraggiato una sinagoga in Austria con il disegno di svastiche. Oggi Sellner è noto per essere il teorico della ""remigrazione"", vale a dire un piano di espulsione su larga scala, dai Paesi di lingua tedesca, perfino dei cittadini austriaci e tedeschi di origine straniera;","già da giovane, Sellner era salito agli onori delle cronache per il suo sostegno a favore dei negazionisti dell'olocausto e per aver oltraggiato una sinagoga in Austria con il disegno di svastiche. Oggi Sellner è noto per essere il teorico della ""remigrazione"", vale a dire un pi…"
Senato,19,190,2024-05-16,UNTERBERGER,p32727,speech,"UNTERBERGER(Aut (SVP-PATT, Cb)) . Signor Ministro, lo scorso 26 aprile il leader del Movimento identitario austriaco, Martin Sellner, ha annunciato per il successivo 5 maggio una cosiddetta colazione rivoluzionaria in Sud Tirolo con il consigliere provinciale Jürgen Wirth Anderlan. Anderlan è noto per le sue posizioni secessioniste nei confronti dell'Italia, per la sua xenofobia, per le sue campagne di incitamento alla violenza contro i politici che hanno gestito l'emergenza pandemica. Per le forti manifestazioni di protesta, Martin Sellner ha annullato l'incontro, annunciando tuttavia che presto terrà a Bolzano una conferenza pubblica per dare ancora più peso e visibilità alla sua presenza. Martin Sellner è il teorico della cosiddetta remigrazione, un piano di espulsione su larga scala dai Paesi di lingua tedesca perfino dei cittadini austriaci tedeschi di origine straniera. Il piano, che dovrebbe avere un periodo di attuazione decennale, sarebbe quello di individuare uno Stato modello in Nord Africa dove spostare fino a due milioni di persone. Martin Selner è una delle figure più pericolose dell'intera galassia neonazista e xenofoba, con una forte attività di proselitismo anche al di fuori dei confini austriaci. Come ha rivelato un'inchiesta giornalistica, lo scorso novembre ha tenuto in Germania un incontro a porte chiuse con esponenti di Alternative für Deutschland, in cui ha illustrato i vari passaggi del suo piano di pulizia etnica. Per queste sue attività, Martin Sellner è stato bandito dal Regno Unito, dagli Stati Uniti, dalla Germania e dalla Svizzera.Va poi ricordato che storicamente il Sud Tirolo è il campo di battaglia per idee neonaziste, provenienti dai territori di lingua tedesca, con suggestioni pangermaniche. Ricordo anche che, in una terra dove è stata faticosamente costruita la pacifica convivenza tra gruppi linguistici diversi, i temi identitari legati a questioni etniche sono vissuti con particolare sensibilità.Si chiede di sapere se il Ministro in indirizzo sia a conoscenza dei fatti sopra esposti, se non concordi sulla necessità di intervenire e quali misure intenda assumere sulla scorta di quanto già fatto da altri Paesi, per evitare che Martin Sellner possa venire in Italia per propagandare il suo folle disegno di pulizia e sostituzione etnica.PRESIDENTE. Il ministro dell'interno, prefetto Piantedosi, ha facoltà di rispondere all'interrogazione testé illustrata, per tre minuti.","(Aut (SVP-PATT, Cb)) . Signor Ministro, lo scorso 26 aprile il leader del Movimento identitario austriaco, Martin Sellner, ha annunciato per il successivo 5 maggio una cosiddetta colazione rivoluzionaria in Sud Tirolo con il consigliere provinciale Jürgen Wirth Anderlan. Anderlan è noto per le sue posizioni secessioniste nei confronti dell'Italia, per la sua xenofobia, per le sue campagne di incitamento alla violenza contro i politici che hanno gestito l'emergenza pandemica. Per le forti manifestazioni di protesta, Martin Sellner ha annullato l'incontro, annunciando tuttavia che presto terrà a Bolzano una conferenza pubblica per dare ancora più peso e visibilità alla sua presenza. Martin Sellner è il teorico della cosiddetta remigrazione, un piano di espulsione su larga scala dai Paesi di lingua tedesca perfino dei cittadini austriaci tedeschi di origine straniera. Il piano, che dovrebbe avere un periodo di attuazione decennale, sarebbe quello di individuare uno Stato modello in Nord Africa dove spostare fino a due milioni di persone.","(Aut (SVP-PATT, Cb)) . Signor Ministro, lo scorso 26 aprile il leader del Movimento identitario austriaco, Martin Sellner, ha annunciato per il successivo 5 maggio una cosiddetta colazione rivoluzionaria in Sud Tirolo con il consigliere provinciale Jürgen Wirth Anderlan. Anderla…"
Senato,19,299,2025-05-06,NA,NA,allegato_b,NA,"il 17 maggio 2025 si terrà a Milano un evento intitolato ""Remigration summit"", organizzato da movimenti e gruppi di estrema destra europei e statunitensi, che avrà ad oggetto la teoria della ""remigrazione"", ossia il rimpatrio forzato di cittadini stranieri presenti in Europa;","il 17 maggio 2025 si terrà a Milano un evento intitolato ""Remigration summit"", organizzato da movimenti e gruppi di estrema destra europei e statunitensi, che avrà ad oggetto la teoria della ""remigrazione"", ossia il rimpatrio forzato di cittadini stranieri presenti in Europa;"
Senato,19,299,2025-05-06,NA,NA,allegato_b,NA,"la teoria della remigrazione è associata a posizioni xenofobe e razziste, contrastanti con i valori e i principi del diritto internazionale e della Costituzione italiana;","la teoria della remigrazione è associata a posizioni xenofobe e razziste, contrastanti con i valori e i principi del diritto internazionale e della Costituzione italiana;"
Senato,19,312,2025-06-04,DE CRISTOFARO,p22918,speech,"DE CRISTOFARO(Misto-AVS) . Domando di parlare per dichiarazione di voto. PRESIDENTE. Ne ha facoltà. DE CRISTOFARO (Misto-AVS) . Signora Presidente, nell'Italia di Giorgia Meloni, se ci sono dei referendum che possono migliorare i tuoi diritti, ti viene detto di non ritirare la scheda. E se sei stato licenziato ingiustamente non puoi nemmeno protestare, perché, se fai un picchetto per strada, con le nuove norme di questo decreto che chiamate sicurezza, ti prendi due anni di carcere. (Applausi) . Nell'Italia di Giorgia Meloni chiamate sicurezza questa propaganda a basso costo, mentre non dite una parola sulla sicurezza che servirebbe, quella di non perdere il lavoro, di non essere condannato ad una vita precaria, di non essere costretto ad emigrare, di non doversi rassegnare a salari da fame. Di questo non vi occupate, ma boicottate chi cerca di tutelare i diritti, perché è assai più facile soffiare sul fuoco e alimentare le paure. (Applausi) . Nell'Italia di Giorgia Meloni ti puoi prendere un Daspo urbano dal questore anche soltanto a causa di una denuncia che si rivela infondata e ti vengono sospese quelle libertà che la Costituzione riconosce e garantisce. Se invece ti sei preso una condanna a quattro anni per falso aggravato per i fatti di Genova 2001, allora basta aspettare che passi un po' di tempo e poi il ministro Piantedosi ti nomina questore, com'è successo vergognosamente qualche giorno fa. (Applausi) . Nell'Italia di Giorgia Meloni, se sei un giornalista d'inchiesta o se sei un attivista che fa i salvataggi in mare, puoi essere spiato. Se sei un partito di opposizione un po' scomodo, puoi persino essere infiltrato dall'antiterrorismo. Se invece sei un corrotto o un corruttore oppure sei uno che ricicla capitali sporchi, allora puoi stare tranquillo, perché le intercettazioni su di te dureranno molto di meno di quanto duravano prima. (Applausi) . Nell'Italia di Giorgia Meloni, se sei un detenuto in un carcere sovraffollato e chiedi che i tuoi diritti vengano rispettati, anche se lo fai in forma non violenta, rischi un'altra pena per resistenza passiva fino a cinque anni. Se invece sei un colletto bianco, verrai trattato con i guanti di velluto; e se addirittura sei l'esponente di un partito di Governo, allora puoi anche fare il sottosegretario di Stato, non solo se chiami mafiosi i magistrati, ma pure se sei stato condannato. (Applausi) . Se sei un migrante, poi, nell'Italia di Giorgia Meloni e magari scappi da una guerra e ti ritrovi dentro a un centro di permanenza per il rimpatrio (CPR), dove ti hanno mandato senza aver commesso un reato, rischi le stesse aggravanti. Del resto, questa è la vostra ossessione preferita, la rendita elettorale perfetta. Però, se sei un torturatore come AlMasri, invece, ti riportano a casa con tutti gli onori, con l'aereo di Stato. (Applausi) . Nell'Italia di Giorgia Meloni, se consideri le grandi opere incompatibili con un modello di sviluppo sostenibile, ad esempio se sei un no TAV o un no Ponte, con queste nuove aggravanti rischi pene del tutto sproporzionate. Se invece, come c'è scritto nell'incredibile articolo 31 che è stato richiamato pochi minuti fa, sei un agente segreto che promuove e dirige organizzazioni terroristiche, allora godrai della totale immunità, le tue condotte non sono punibili e la magistratura non potrà intervenire nemmeno in caso di un arresto in flagranza di reato. Nell'Italia di Giorgia Meloni, se fabbrichi missili puoi aumentare la produzione al cento per cento, perché c'è una corsa al riarmo, perché puoi vendere armi a Israele, puoi fare affari con i signori della guerra; se invece sei un giovane che magari ha investito qualche soldo sulla canapa industriale, la tua attività te la fanno chiudere, perché chiamano droga la cannabis light e il furore ideologico la fa da padrone. (Applausi) . Nell'Italia di Giorgia Meloni, se sei un attivista climatico e fai un'azione dimostrativa, sia pure con una vernice lavabile che non provoca nessun danno permanente, ti prendi sette anni di reclusione; se poi occupi una casa, ma non la casa di qualcuno, anche una casa vuota e magari non assegnata da decenni, vieni sgomberato anche senza che un giudice si sia espresso; e se ti prendi una manganellata solo perché stai rivendicando il tuo diritto all'abitare, non potrai mai sapere nemmeno fino in fondo cos'è accaduto, perché in questo decreto-legge, ancora una volta, avete bocciato il nostro emendamento sul numero identificativo sui caschi delle Forze dell'ordine. (Applausi) . Se però sei un nazista di organizzazioni quali Remigration o di Deport them now, che inneggia allo sterminio, allora in Italia puoi venire a riunirti a Gallarate e ci sarà sicuramente anche qualche esponente di un partito di Governo che ti verrà ad omaggiare. (Applausi) . Eccola qui, eccola l'Italia di Giorgia Meloni, un'Italia nella quale in due anni sono stati introdotti 48 nuovi reati, 14 dei quali soltanto in questo decreto-legge, e nove aggravanti, un numero spropositato e immotivato. Ce n'è uno, però, tra tutti questi reati, che proprio non vi piace, visto che anche in questo caso avete bocciato un nostro emendamento. Mi riferisco, signora Presidente, a quello che chiedeva di rendere reato il saluto romano (Applausi) , che qualche vostro elettore un po' nostalgico invece potrà continuare a fare impunito. Insomma, è proibito tutto, anche esporre le bandiere di un popolo martoriato come quello palestinese, ma il saluto romano, quello no, si può tranquillamente continuare a farlo e guai a chi lo tocca. (Applausi) . Nell'Italia di Giorgia Meloni la propaganda è più forte della realtà: l'Italia dei due pesi e delle due misure, l'Italia forte con i deboli, pavida e prona con i potenti; un'Italia in cui agli evasori fiscali viene alzato il tetto del contante per evadere meglio, che spalanca le sue porte ai miliardari d'oltreoceano dicendo che qui le tasse loro non le pagheranno; un'Italia in cui ogni giorno che passa la legge diventa il contrario della giustizia. Eppure, in quest'Italia di Giorgia Meloni sta nascendo un'opposizione sociale, come quella che sabato scorso ha invaso, per fortuna, le strade di Roma. Voi potete cercare di bloccare l'opposizione parlamentare e la sacrosanta battaglia che stiamo facendo in questi giorni, anche pochi minuti fa, seppure ovviamente soltanto in maniera dimostrativa, perché avete la forza dei numeri e allora umiliate le istituzioni con le vostre forzature, con le vostre tagliole, con i vostri canguri, come avete fatto con questo decreto-legge che scandalosamente ha aggirato il Parlamento. (Applausi) . Non riuscirete, però, a piegare l'opposizione sociale; non riuscirete a trasformare questo Paese in uno Stato di polizia. Se occorre, alle vostre leggi ingiuste disobbediremo (Applausi) , perché la disobbedienza civile non è un crimine, ma un pilastro dello Stato di diritto. (Applausi) . Non riuscirete a trasformare questo Paese nell'Ungheria, e non ci riuscirete anche perché presto questa non sarà più l'Italia di Giorgia Meloni. Quando questo succederà, questo decreto-legge lo cancelleremo, e vedrete che sarà molto prima di quanto pensate. (Applausi) .","Nell'Italia di Giorgia Meloni, se sei un attivista climatico e fai un'azione dimostrativa, sia pure con una vernice lavabile che non provoca nessun danno permanente, ti prendi sette anni di reclusione; se poi occupi una casa, ma non la casa di qualcuno, anche una casa vuota e magari non assegnata da decenni, vieni sgomberato anche senza che un giudice si sia espresso; e se ti prendi una manganellata solo perché stai rivendicando il tuo diritto all'abitare, non potrai mai sapere nemmeno fino in fondo cos'è accaduto, perché in questo decreto-legge, ancora una volta, avete bocciato il nostro emendamento sul numero identificativo sui caschi delle Forze dell'ordine. (Applausi) . Se però sei un nazista di organizzazioni quali Remigration o di Deport them now, che inneggia allo sterminio, allora in Italia puoi venire a riunirti a Gallarate e ci sarà sicuramente anche qualche esponente di un partito di Governo che ti verrà ad omaggiare. (Applausi) .","Nell'Italia di Giorgia Meloni, se sei un attivista climatico e fai un'azione dimostrativa, sia pure con una vernice lavabile che non provoca nessun danno permanente, ti prendi sette anni di reclusione; se poi occupi una casa, ma non la casa di qualcuno, anche una casa vuota e ma…"
Senato,19,362,2025-11-04,NA,NA,allegato_b,NA,"come riportano gli organi di stampa, il 1° novembre 2025, a Novara, si è svolto il raduno regionale del comitato ""Remigrazione e riconquista"", una realtà nata a livello nazionale e sostenuta da sigle dell'area di estrema destra, tra cui ""CasaPound"" e ""Rete dei patrioti"";","come riportano gli organi di stampa, il 1° novembre 2025, a Novara, si è svolto il raduno regionale del comitato ""Remigrazione e riconquista"", una realtà nata a livello nazionale e sostenuta da sigle dell'area di estrema destra, tra cui ""CasaPound"" e ""Rete dei patrioti"";"
Senato,19,362,2025-11-04,NA,NA,allegato_b,NA,"il termine ""remigrazione"" è associato all'idea di espellere con la forza da un certo Paese tutte le persone straniere, anche quelle che detengono un regolare permesso di soggiorno, la cui presenza è ritenuta problematica: un'idea portata avanti, nel nostro Paese, da movimenti neofascisti che si fonda sull'odio e sul razzismo, valori che contrastano in modo categorico con i valori costituzionali;","il termine ""remigrazione"" è associato all'idea di espellere con la forza da un certo Paese tutte le persone straniere, anche quelle che detengono un regolare permesso di soggiorno, la cui presenza è ritenuta problematica: un'idea portata avanti, nel nostro Paese, da movimenti ne…"
Senato,19,363,2025-11-11,NA,NA,allegato_b,NA,"in data 1° novembre 2025 si è svolta a Novara, in piazza Gramsci, una manifestazione organizzata dal movimento ""Remigrazione e Riconquista"", sostenuto da CasaPound, Rete dei Patrioti e da altri gruppi di ispirazione neofascista;","in data 1° novembre 2025 si è svolta a Novara, in piazza Gramsci, una manifestazione organizzata dal movimento ""Remigrazione e Riconquista"", sostenuto da CasaPound, Rete dei Patrioti e da altri gruppi di ispirazione neofascista;"
Senato,19,363,2025-11-11,NA,NA,allegato_b,NA,"nel buio, infatti, avvalendosi anche di alcuni fumogeni, hanno srotolato uno striscione recante la scritta ""Remigrazione"", e successivamente hanno pubblicato la foto dell'azione sui social network ;","nel buio, infatti, avvalendosi anche di alcuni fumogeni, hanno srotolato uno striscione recante la scritta ""Remigrazione"", e successivamente hanno pubblicato la foto dell'azione sui social network ;"
Senato,19,363,2025-11-11,NA,NA,allegato_b,NA,"a rivendicare l'iniziativa è il comitato nazionale ""Remigrazione e riconquista"", realtà attiva negli ambienti della destra più radicale;","a rivendicare l'iniziativa è il comitato nazionale ""Remigrazione e riconquista"", realtà attiva negli ambienti della destra più radicale;"
Senato,19,363,2025-11-11,NA,NA,allegato_b,NA,"l'azione, di evidente carattere simbolico e provocatorio, voleva render visibile uno slogan ormai diffuso nelle frange più estreme della destra: il termine ""remigrazione"", come si è consolidato nelle sigle e nei messaggi di tali formazioni, indica, in senso politico-ideologico, la proposta dell'espulsione di massa o del rimpatrio forzato di immigrati e dei loro discendenti ritenuti ""non assimilati"";","l'azione, di evidente carattere simbolico e provocatorio, voleva render visibile uno slogan ormai diffuso nelle frange più estreme della destra: il termine ""remigrazione"", come si è consolidato nelle sigle e nei messaggi di tali formazioni, indica, in senso politico-ideologico, …"
Senato,19,405,2026-04-01,LISEI,p36435,speech,"LISEI(FdI) . Signor Presidente, in questo momento di dolore della sinistra italiana, che comprendo, esprimo la mia solidarietà e la mia vicinanza al Partito Democratico e al MoVimento 5 Stelle, che il 26 marzo di quest'anno hanno celebrato il funerale delle politiche immigrazioniste e aperturiste che ormai soltanto la sinistra italiana sta portando avanti in Italia. (Applausi) . Il 26 marzo l'Europarlamento ha votato la linea italiana sul tema della remigrazione, sul tema del rimpatrio e sul tema delle strutture nei Paesi terzi. Questo è quello che è avvenuto in Europa il 26 marzo, con buona pace di qualche intervento che mi ha preceduto e dell'intervento pacato e in parte anche condivisibile del senatore Delrio, con il quale probabilmente ci uniscono più cose rispetto a chi siede di fianco a lui. Gli rendo noto che il suo partito, assieme al MoVimento 5 Stelle, in Europa ha votato contro questa direttiva (diversamente da quanto ha fatto una parte della sinistra europea, come ad esempio la Danimarca, che sta seguendo il modello italiano dell'utilizzo di strutture come quella in Albania), è contraria ai CPR e li vuole chiudere, non li vuole mettere a posto. La gran parte del suo partito, assieme al MoVimento 5 Stelle e assieme ad AVS, i CPR li vuole chiudere. Questa è la notizia. (Applausi) . Se lei è d'accordo e se la sinistra è d'accordo nel migliorare le strutture dei CPR per renderle ancora più operative, la accogliamo a braccia aperte, venga da noi, senatore Delrio, so che è da solo nel suo partito. (Applausi) . È chiaro che quelle strutture sono sottoutilizzate, ma come ha detto lei lo sono perché le persone che ci sono dentro, che non sono propriamente dei gentiluomini, le devastano in continuazione, durante tutto l'anno, e questo è il motivo per il quale servono nuove strutture. Diciamo le cose come stanno: c'è qualcuno al Governo che sta cercando di impedire che ci siano ulteriori sbarchi e c'è qualcuno nel Paese che ha altre funzioni e altri ruoli e che sta facendo di tutto per impedire i rimpatri e per consentire a persone che sono criminali incalliti di stare in mezzo alle strade, perché questo è quello che è avvenuto purtroppo in pezzi della società civile. (Applausi). Lo dico ai colleghi del Partito Democratico che sono intervenuti, perché sono anche vicini di casa nostra, perché erano in Emilia-Romagna quei medici che rilasciavano finti certificati di inidoneità per tenere i migranti fuori da quelle strutture. (Applausi) . Sono gli azzeccagarbugli che per anni hanno contrastato le politiche di rimpatrio di questo Governo, che prima hanno trovato la scusa dei Paesi sicuri, che ormai è superata grazie alle politiche europee e alla linea italiana del Governo Meloni che è passata in Europa; poi hanno trovato la scusa delle richieste d'asilo, che sono state finalmente bocciate dalla Corte costituzionale. C'è chi ha lavorato in quest'anno per destrutturare tutto il modello di respingimento e di rimpatrio. Non si tratta di un'emergenza, lo era forse in precedenza, perché oggi i dati sui rimpatri ci dicono che si sono contenuti, certo con un picco nel 2023. Nessuno vuole nascondere il picco del 2023, ma siamo orgogliosi che quel lavoro abbia prodotto oggi la riduzione degli sbarchi del 40 per cento rispetto al 2022 e rispetto agli anni precedenti. Capisco che si possa dire tutto, ma non si può dire che non venivano i migranti quando c'era il Covid, perché faccio fatica a pensare che avessero interesse a venire in Italia per salire sui banchi a rotelle, non so come dovevano partire, ma se vogliamo citare i dati, almeno facciamolo in maniera intelligente. (Applausi) . Non dico di farlo in maniera onesta, perché non me lo aspetto dal MoVimento 5 Stelle, che qui accusa l'Italia di non fare abbastanza rimpatri e del fatto che ci sono troppi sbarchi, ma in Europa vota contro tutte le politiche per vietare gli sbarchi e i rimpatri. (Applausi) . In Europa si atteggia ad estrema sinistra, in Italia quando gli pare accusa la destra del fatto che ci sono troppi rimpatri. Quello che manca in quest'Aula, quando si parla d'immigrazione, è una proposta. Possiamo anche accettare la critica sui rimpatri, che possano essere fatti meglio e che si possa fare di più per cercare d'impedire ulteriori sbarchi; se arrivano suggerimenti per migliorare ulteriormente le performance sui respingimenti e i rimpatri, siamo i primi ad accoglierli e ci possiamo sedere attorno a un tavolo, ma ci dev'essere una proposta e questa proposta io non l'ho ancora sentita. Ho sentito soltanto parlare di chiusura dei CPR, di consentire alle ONG di continuare a fare quello che hanno fatto finché non è arrivato il Governo Meloni, di consentire ai migranti pluricriminali e pluripregiudicati di trovare qualsiasi scusa per rimanere in Italia, perché questo è quello che è avvenuto. Se vogliamo ci possiamo sedere attorno a un tavolo in maniera seria, lo dico ai pochi e sparuti che stanno dall'altra parte dell'Aula che sono intervenuti, per migliorare ulteriormente questi dati, far calare gli sbarchi irregolari, aumentare gli ingressi regolari che servono anche al mondo produttivo che, com'è stato giustamente riconosciuto, questo Governo ha cercato d'incentivare, perché non è contro chi vuole venire regolarmente in Italia a lavorare e a contribuire alla crescita del Paese, ma è contro chi sfrutta le situazioni economiche di persone che vengono in Italia sperando di trovare un futuro che non avranno mai perché non hanno nessuna professionalità, nessuna competenza e arriveranno qui e si troveranno per le strade, fra i nostri cittadini, a spacciare, a rubare, a violentare, per essere rimessi in libertà da giudici che antepongono l'ideologia alle necessità del Paese. (Applausi). Va bene questa direttiva, va bene che l'Europa segua l'Italia, va bene che finalmente l'Europa abbia capito che i confini dell'Italia sono i confini dell'Europa e abbia superato la passata logica fallimentare in auge prima del Governo di Giorgia Meloni, che era quella del Trattato di Dublino, per cui noi chiedevamo l'elemosina perché qualche altro Paese si riprendesse qualche migrante che veniva in Italia. (Applausi) . Non se li sono mai ripresi, li hanno lasciati qui. Quella logica è archiviata ed è stata superata grazie all'intervento del Governo Meloni, che ha dettato la linea in Europa. Questa è la realtà dei fatti. (Applausi) .","(FdI) . Signor Presidente, in questo momento di dolore della sinistra italiana, che comprendo, esprimo la mia solidarietà e la mia vicinanza al Partito Democratico e al MoVimento 5 Stelle, che il 26 marzo di quest'anno hanno celebrato il funerale delle politiche immigrazioniste e aperturiste che ormai soltanto la sinistra italiana sta portando avanti in Italia. (Applausi) . Il 26 marzo l'Europarlamento ha votato la linea italiana sul tema della remigrazione, sul tema del rimpatrio e sul tema delle strutture nei Paesi terzi. Questo è quello che è avvenuto in Europa il 26 marzo, con buona pace di qualche intervento che mi ha preceduto e dell'intervento pacato e in parte anche condivisibile del senatore Delrio, con il quale probabilmente ci uniscono più cose rispetto a chi siede di fianco a lui. Gli rendo noto che il suo partito, assieme al MoVimento 5 Stelle, in Europa ha votato contro questa direttiva (diversamente da quanto ha fatto una parte della sinistra europea, come ad esempio la Danimarca, che sta seguendo il modello italiano dell'utilizzo di strutture come quella in Albania), è contraria ai CPR e li vuole chiudere, non li vuole mettere a posto. La gran parte del suo partito, assieme al MoVimento 5 Stelle e assieme ad AVS, i CPR li vuole chiudere. Questa è la notizia. (Applausi) .","(FdI) . Signor Presidente, in questo momento di dolore della sinistra italiana, che comprendo, esprimo la mia solidarietà e la mia vicinanza al Partito Democratico e al MoVimento 5 Stelle, che il 26 marzo di quest'anno hanno celebrato il funerale delle politiche immigrazioniste …"
